 ,,,Gender
Federico Guillermo Beckhoff,,,Male
Volker Hüller,,,Male
Nick Knight,,,Male
Kurt Kren,,,Male
Klaus Eschen,,,Male
Unidentified designer,,,
Michael Williams,,,Male
Michaela Eichwald,,,Female
Richard Aldrich,,,Male
Jorge Rigamonti,,,
Ann Demeulemeester,,,
Charlie Foos,,,
Jakub Szcz_sny,,,Male
P.H. Polk,,,Male
John McGreer,,,Male
H. H. French Studios,,,
Powell & Co.,,,
Klára Tamás,,,Female
Franco Rossi,,,Male
SO – IL (Florian Idenburg + Jing Liu),,,
Florian Idenburg,,,Male
Jing Liu,,,Female
M/M Paris,,,
Marc Downie,,,Male
Shelley Eshkar,,,Male
Paul Kaiser,,,Male
OpenEnded Group,,,
Juan Sordo Madaleno,,,Male
Charles de Meaux,,,Male
Leonardo Finotti,,,Male
Justino Serralta,,,Male
Abe Frajndlich,,,male
Günter Günschel,,,Male
"K. Thomsen, Copenhagen",,,
"Art_l, Prague",,,
Mauricio Pezo,,,Male
Sofía von Ellrichshausen,,,Female
Lux Interior (Erick Lee Purkhiser),,,Male
Lutz Bacher,,,Female
Juan Luis Martinez,,,Male
Ulises Carrión,,,Male
U-J3RK5,,,
Kitty Byrne,,,
Colin Griffiths,,,
Danice McLeod,,,
Frank Ramirez,,,
David Wisdom,,,
Rodney Graham Band,,,
Robert H. McNeill,,,Male
Eva Kotátková,,,Female
Alair Gomes,,,Male
Sara Facio,,,Female
Nicolas Garcia Uriburu,,,Male
Derek Barnett,,,
David Horvitz,,,
Reginald Daniels,,,Male
John McDowell,,,Male
Gaspar Gasparian,,,Male
Mladen Stilinovi_,,,Male
Ed Clark,,,Male
Judith Scott,,,Female
Matías Duville,,,Male
David Tudor,,,Male
Hendrik Nicolaas Werkman,,,Male
Wenzel Hablik,,,Male
Elisabeth Lindemann,,,Female
Rosângela Rennó,,,Female
Tom Wedell,,,Male
"Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad",,,
Ken Okiishi,,,Male
Beatrice Trueblood,,,Female
Huberto Batis,,,Male
Miguel Cervantes,,,Male
Ricardo Verdoni,,,Male
The Living,,,
José Carlos Martinat,,,Male
Relative Wave,,,
Kodama Studios,,,
"Touch Press, London",,,
Simon Denny,,,Male
Henry Bataille,,,Male
Judith Steedman,,,
Mathias Augustyniak,,,Male
Michael Amzalag,,,Male
Sarah Stocker,,,Female
Mark Danks,,,Male
Sjón (Sigurjón Birgir Sigur_sson),,,Male
Nikki Dibben,,,Female
Stephen Malinowski,,,Male
Carlos Sallaberry,,,Male
Damián Vinson,,,Male
Felipe Tarsitano,,,Male
Ignacio Petchersky,,,Male
Carlos Libedinsky,,,Male
Antonio Diaz,,,Male
Rao,,,
Erin Shirreff,,,Female
Centrala Architects,,,
Keld Helmer-Petersen,,,Male
Jay Silver,,,Male
Eric Rosenbaum,,,Male
Nancy Burson,,,Female
Carlos Motta,,,Male
A Band,,,
John Adams,,,Male
The Alma Band,,,
David Bellingham,,,
Jonathan Bepler,,,
Tim Berresheim,,,Male
Dike Blair,,,Male
Monte Cazazza,,,Male
Courttney Cooper,,,Male
Technology Will Save Us,,,
"QUAD Electroacoustics, Huntingdon, England",,,
Keiji Uematsu,,,Male
Toshiro Mayuzumi,,,
Martin Sharp,,,Male
James Richards,,,Male
Jerome Kuhl,,,Male
Maison Martin Margiela,,,
Alfred Gescheidt,,,Male
Edwin Middleton,,,Male
T. Hayes Hunter,,,Male
Jean-Philippe Toussaint,,,Male
Yuri Suzuki,,,Male
"Transnatural, Amsterdam",,,
Arjen Bangma,,,Male
Torbjørn Rødland,,,Male
Miguel Ángel Salgado,,,Male
Jorge Castillo,,,Male
Marjan van Aubel,,,Female
James Shaw,,,Male
Philippe Van Snick,,,Male
Rob Swainston,,,Male
Oscar Tenreiro Degwitz,,,Male
Tihamér Csemiczky,,,Male
Fernando Guerra,,,Male
Nervous System,,,
Stefan Diez,,,Male
W. Craig Carter,,,Male
Joe Hicklin,,,Male
Chris Gabrin,,,Male
Wells Coates,,,Male
Louis Christiann Kalff,,,Male
Jann Haworth,,,Female
The Otolith Group,,,
Charles E. Murphy,,,Male
Donald Smith,,,Male
Peter Martin Christopherson,,,Male
Peter Gabriel,,,Male
Greg Porto,,,Male
Jean-Paul Goude,,,Male
George Hardie,,,Male
Michael Andrews,,,Male
David Inshaw,,,Male
Clive Barker,,,Male
Hipgnosis,,,
David Tindle,,,Male
Tony Wright,,,Male
Karl Klefisch,,,Male
Günther Fröhling,,,Male
Mark Farrow,,,Male
Eric Watson,,,Male
Pet Shop Boys,,,
Tony Lane,,,Male
Francis Wolff,,,Male
Jerry Harrison,,,Male
Jimmy Garcia,,,Male
Robert Whitaker,,,Male
Ben Kelly,,,Male
Ronald Clyne,,,Male
Gerald Scarfe,,,Male
Roger Waters,,,Male
Bob Dylan,,,Male
Michael Cooper,,,Male
Bob Seidmann,,,Male
Mick Milligan,,,Male
Richard Evans,,,Male
Michael Hodgson,,,Male
Jeff Ayeroff,,,Male
Adelle Lutz,,,Female
Robert Freeman,,,Male
E. Earl Curtis,,,Male
Dentaku Ltd.,,,
Mark McKeague,,,Male
Naomi Elliott,,,Female
Joseph Pleass,,,Male
Martyn Atkins,,,Male
Bernard Pierre Wolff,,,Male
Mediated Matter Group,,,
MIT Materials Science and Engineering,,,
The Mathworks,,,
Turlif Vilbrandt,,,Male
Ulrike Müller,,,Female
Brigitte Hellgoth,,,Female
Plastic Ono Band,,,
Arduino SA,,,
SmartProjects,,,
Kevin Beasley,,,Male
Julia Murdoch,,,Female
Leo Fender,,,Male
George Fullerton,,,Male
Freddie Tavares,,,Male
Massimo Banzi,,,Male
David Cuartielles,,,Male
Tom Igoe,,,Male
Gianluca Martino,,,Male
David Mellis,,,Male
Giorgio Olivero,,,Male
Sam Lewitt,,,Male
Ryan Oakes,,,Male
Trevor Oakes,,,Male
Jennie C. Jones,,,Female
Julia Rommel,,,Female
Aloisio Magalhães,,,Male
Blue Note Records,,,
Prestige Records,,,
Sire Records,,,
Amazing Musical Instrument Company,,,
"Ove N. Arup Consulting Engineers, London",,,
Grupo Sordo Madaleno,,,
Command Records,,,
"Stiff Records, London",,,
F-Beat Records,,,
"Factory Records, Manchester",,,
"Folkways Records, New York",,,
Carlos Zilio,,,Male
Private Collector,,,
Jessica Rosenkrantz,,,Female
Jesse Louis-Rosenberg,,,Male
Iñaki Bonillas,,,Male
Fred Stein,,,Male
Conte Candoli,,,Male
Reaction Records,,,
Gavin Cochrane,,,Male
Brian Aris,,,Male
Charisma Records,,,
Pictorial Productions,,,
Tony Meeviwiffen,,,Male
Parlophone Records,,,
Harvest Records,,,
Tina Weymouth,,,Female
Chris Frantz,,,Male
ATCO Records,,,
Rolling Stones Records,,,
Billy Name,,,Male
Craig Braun,,,Male
Ernie Cefalu,,,Male
John Pasche,,,Male
Richard Polak,,,Male
Steve McGarry,,,
D.B. Glen,,,
Eric Hurtado,,,Male
Marc Hurtado,,,Male
"MSGSS (Manteola Sanchez Gomez Santos Solsona), Buenos Aires",,,
"MSGSSSV (Manteola Sanchez Gomez Santos Solsona Sallaberry Vinson), Buenos Aires",,,
The Command All-Stars,,,
Cook Laboratories Records,,,
Paul McMahon,,,Male
Nancy Radloff,,,
Wharton Tiers,,,
Joseph Gone,,,
David McMahon,,,
Art Critics Orchestra,,,
Byrd Hoffman School of Byrds,,,
Carl Byron,,,
Carole Caroompas,,,Female
Billy Childish,,,Male
Arrigo Lora Totino,,,Male
Joe Colley,,,Male
Augusto Concato,,,Male
Cranfield and Slade,,,
Brady Cranfield,,,
Kathy Slade,,,
The Dogz,,,
Lee Ranaldo,,,Male
Dave Dyment,,,
Bruce Fier,,,
Forcefield,,,
Bob George,,,
Gobbler,,,
Art Byington,,,
Henrik Håkansson,,,
The Haters,,,
Fat Les,,,
Keith Allen,,,
Alex James,,,
George Herms,,,Male
Alex Israel,,,Male
Christian Vetter,,,Male
Lynette Yiadom-Boakye,,,Female
Smiljan Radi_,,,Male
Vit Mach,,,
Jan Mach,,,
Jan Trtílek,,,Male
Achim Duchow,,,Male
Jochen Krüger,,,
Natalie Czech,,,Female
Formafantasma,,,
Andrea Trimarchi,,,Male
Simone Farresin,,,Male
LaToya Ruby Frazier,,,Female
Guillermo Zamora,,,Male
Vivian Browne,,,Female
Eldzier Cortor,,,Male
Trevor Key,,,Male
Joy Division,,,
Hélène Binet,,,Female
Reese Williams,,,
Aktuální um_ni,,,
Orlando Garcia,,,Male
G Ateliers Architecture,,,
John Houck,,,Male
Wyss Institute for Biologically Inspired Engineering at Harvard University,,,
Annett Zinsmeister,,,Female
Reginald Orton,,,Male
Philip Walton,,,Male
Yuki Kimura,,,Female
Ryan Junell,,,Male
Creative Commons,,,
Benjamin Bauer,,,Male
Shure Incorporated,,,
Lucas Blalock,,,Male
Steffani Jemison,,,Female
Alma Woodsey Thomas,,,Female
Bouchra Khalili,,,Female
The Propeller Group,,,
Wu Tsang,,,Female
Donald Elliot Ingber,,,Male
Dan Dongeun Huh,,,Male
Boston Children's Hospital,,,
Christian Richters,,,Male
Igildo Biesele,,,Male
David Bradshaw,,,Male
Abdul Mati Klarwein,,,Male
John Berg,,,Male
Ruth Krauss,,,
Adriana Salazar,,,Female
Manuel González Rul,,,Male
Patrick Nagel,,,Male
Annie Leibovitz,,,Female
Peter Corriston,,,Male
Christian Piper,,,Male
Hubert Kretzschmar,,,Male
Eloise Vega Smith,,,Female
Nick Fasciano,,,Male
Robert Fisher,,,Male
Michael Lavine,,,Male
Don Hunstein,,,Male
Mike Doud,,,Male
DIS,,,
Katharina Gaenssler,,,Female
David Hartt,,,Male
"MSGS (Manteola, Sanchez Gomez, Solsona) Buenos Aires",,,
Ilit Azoulay,,,Female
Lele Saveri,,,Male
Marina Pinsky,,,Female
Lieko Shiga,,,Female
Brian Duffy,,,Male
Zacron (Richard Drew),,,Male
Grey Organisation,,,
Rick Griffin,,,Male
Rocco Redondo,,,Male
Peter Zumthor,,,Male
Ecovative,,,
Michael Ross,,,Male
Brian Griffin,,,Male
Keith Morris,,,Male
Static Kling,,,
J. Edith Wise,,,Female
Alex Roberts,,,Male
Walter Jule,,,Male
Gerald Holtom,,,Male
Charles Baldwin,,,Male
Gary Anderson,,,Male
"Lawrence Berkeley National Laboratory, University of California",,,
"John ""Teflon"" Sims",,,Male
Alicja Szubert-Olszewska,,,Female
W. Pawelec,,,Male
Andrzej Karpi_ski,,,Male
Piotr Tofil,,,Male
Miros_aw Ryszard Ryszard,,,Male
Alek Januszewski,,,Male
Janet Perr,,,Female
Arnold Rosenberg,,,Male
Philip Hays,,,Male
Ben Drury,,,Male
András Wahorn,,,Male
Free Art and Technology Lab,,,
Shawn Sims,,,Male
Sy-Lab,,,
Dörte Helm,,,Female
Paul Häberer,,,Male
Tom Hingston,,,Male
Chris D.,,,Male
Péter Nagy,,,Male
Tomasz Lipi_ski,,,Male
Stephen Kroninger,,,Male
Chris Mathan,,,Male
Simon Posthuma,,,Male
Marijke Koger-Dunham,,,Female
Kain May,,,
Annette Peacock,,,Female
Sam Suliman,,,Male
Andrea Klein,,,Female
Dezerter,,,
Kirk Weddle,,,Male
Sonja Hennersdorf,,,Female
Jochen Wermann,,,Male
Artrouble,,,
Will Bankhead,,,Male
Andrzej Zborski,,,Male
Dean Chalkley,,,Male
Jim Houghton,,,Male
Gerard Huerta,,,Male
Alex Schweder,,,Male
Rick Mann,,,Male
Francisco Matto,,,Male
Sandra Cinto,,,Female
Sarah Grilo,,,Female
Etel Adnan,,,Female
Takashi Kono,,,Male
Mizu,,,
Toshihiro Katayama,,,Male
Setsuko Asakura,,,Male
Ishoka,,,
Kenichi Kobori,,,Male
Shunichi Nakashima,,,Male
Gino Cantarelli,,,Male
Oswaldo Vigas,,,Male
Tony Lewis,,,Male
Eddie Ruscha,,,
Richie Lee,,,
Cindy Bernard,,,Female
Laura Graham,,,
Maija Beeton,,,
Martine Tomczyk,,,
Juan Batlle Planas,,,Male
DJ Sid,,,
Bill Fontana,,,
John Paul Endress,,,Male
Art Kane,,,Male
José Álvarez Calderón,,,Male
Rosemberg Sandoval,,,Male
Patterson Beckwith,,,Male
Alex Bag,,,Female
John Gerrard,,,Male
Gerald Jupitter-Larsen,,,
Minutemen,,,
Saccharine Trust,,,
Kindled Imagination,,,
Artless Entanglements,,,
Sharp Corners,,,
The Nig-Heist,,,
Redd Kross,,,
Gregg Wager,,,
Crimony,,,
Anarchy 6,,,
Pay The Man,,,
Super Session,,,
Dim Stars,,,
DOS,,,
Lucky Sperms,,,
Just Say No,,,
Mike Watt,,,
Sür Drone,,,
Annihilation Time,,,
Foo Fighters,,,
Breakfast,,,
Charles Wilp,,,
Fabrizio Plessi,,,
Katalin Ladik,,,Female
"Richard ""Dickie"" Landry",,,
Languis,,,
Alejandro Cohen,,,
Marcos Chloca,,,
Lunk,,,
Ingram Marshall,,,
Nelson Tarpenny,,,
Pauline Oliveros,,,Female
Manuel Rocha,,,
Owada,,,
Keiko Owada,,,
Adam McEwen,,,Male
Abby Normal,,,
Dave Markey,,,
Bidner / Martinek,,,
The Poetics,,,
Bill Wintersole,,,
Zoe Pettijohn,,,
Linda Post,,,
Cathy,,,
Princess,,,
Bad News,,,
Cheifs,,,
Descendents,,,
China White,,,
Throbbing Gristle,,,
The Stains,,,
Vox Pop,,,
Overkill,,,
Circle One,,,
Meat Puppets,,,
Hüsker Dü,,,
Toshio Sasaki,,,
The Sets,,,
Jake Tilson,,,Male
Nikolaus Urban,,,
Lejaren Hiller,,,
Ben Johnston,,,
Henri Pousseur,,,
Bags,,,
Anti,,,
Shattered Faith,,,
M.I.A.,,,
Ill Will,,,
Germs,,,
BPeople,,,
Mood of Defiance,,,
Invisible Chains,,,
Zurich 1916,,,
Powertrip,,,
Peer Group,,,
Ken Starkey,,,
Slivers,,,
Würm,,,
Modern Warfare,,,
Hari Kari,,,
Sin 34,,,
Artistic Decline,,,
Modern Torture,,,
Marshall Mellow,,,
Carl Stone,,,
Doo-Dooettes,,,
Tone Deaf,,,
Debt Of Nature,,,
David Peel & The Lower East Side,,,
Motorpsycho,,,
Meathead,,,
Jesus Fuck & Da Murderers,,,
Starfuckers,,,
Eugene Chadbourne,,,
Controlled Bleeding,,,
Skullflower,,,
Kicking Giant,,,
Faust,,,
Pavement,,,
Sun City Girls,,,
Television Personalities,,,
Basim Magdy,,,Male
Naoya Hatakeyama,,,Male
Blank,,,
Selten Gehörte Musik,,,
Tennessee Williams,,,Male
John Wallowitch,,,Male
Paul Anka,,,
Billy Squier,,,
Diana Ross,,,Female
Aretha Franklin,,,Female
Love of Life Orchestra,,,
Peter Gordon,,,Male
Ned Sublette,,,Male
The Persuasions,,,
Thomas Zipp,,,
Ha Chong-Hyun,,,Male
Lionel Maunz,,,Male
Chen Zhen,,,Male
Josh Kline,,,Male
Thea Djordjadze,,,Female
Achilles Lemot,,,Male
Bob,,,
G. Darré,,,
Durvis,,,
John Kosh,,,Male
Zvonimir Golob,,,Male
Iain Macmillan,,,Male
Philipp Schaerer,,,Male
Electroninks,,,
Clifton Roozeboom,,,Male
PocketLab,,,
Helen Balfour Morrison,,,Female
Claude Parent,,,Male
Terrol Dew Johnson,,,Male
György Soós,,,Male
György Bp. Szabó,,,Male
Tamás Soós,,,Male
György Szász,,,Male
László= Lugo,,,Male
Margaret Watkins,,,Female
Henri Fille,,,
Heidbrinck,,,
"Mass Studies, Seoul, Korea",,,
Uche Okeke,,,Male
Kees Wagenaars,,,male
Manu Prakash,,,Male
Jie Qi,,,Female
"Andrew ""Bunnie"" Huang",,,Male
Gilbert Baker,,,Male
Autodesk Inc.,,,
V. Ber,,,
Mirko Ili_,,,Male
Eleanor Kluck,,,Female
Henry Kluck,,,Male
Francisco Blanco,,,Male
Mario Gallardo,,,Male
Rene De La Nuez,,,Male
Carmelo González,,,Male
Eduardo Munoz Bachs,,,Male
Titus Kaphar,,,Male
Alberto Carol,,,Male
Rene Azcuy Cardenas,,,Male
Dimas,,,
Antonio Fernandez Reboiro,,,Male
Frederik Ljungström,,,Male
Andrew John Hessel,,,Male
Jacqueline Yuan Quinn,,,Female
Paul Richard Ayre Jaschke,,,Male
Unidentified Designer,,,
Joseph Schwartz,,,Male
Anna Boghiguian,,,Female
Martine Bedin,,,Female
"Memphis, Milan",,,
Dayanita Singh,,,Female
Michele De Lucchi,,,Male
Daniele Scandola,,,Male
Gloria della Vittoria,,,Female
Nathalie du Pasquier,,,Female
Massimo Giacon,,,Male
Roland Shakespear,,,Male
Guillermo González Ruiz,,,Male
Castell,,,
Unidentified Designer,,,
J. Rosado Velez,,,Male
David Goitia,,,Male
Velazquez Ribero,,,
F. Palacios,,,
Sou Fujimoto Architects,,,
Sou Fujimoto,,,Male
Akihisa Hirata Architecture Office,,,
Akihisa Hirata,,,
junya.ishigami+associates,,,
Junya Ishigami,,,
Hiroshi Kawatu,,,
Kiichi Kobayashi,,,
Alfred Le Petit,,,
Gravelle,,,
Martel,,,
Office of Ryue Nishizawa,,,
Unidentified Designer,,,
Unidentified Designer,,,
Tala Madani,,,Female
Ray Stevenson,,,Male
Eric Baudelaire,,,Male
Tania Bruguera,,,Female
Robert Wittmann,,,Male
JODI,,,
Sir Cedric Lockwood Morris,,,Male
Paolo Garretto,,,
George Mather Richards,,,Male
Harrison Fisher,,,Male
Joan Heemskerk,,,Female
Dirk Paesmans,,,Male
William Dodge Stevens,,,Male
Howard Giles,,,Male
George Hand Wright,,,Male
Phu Nam,,,Male
Matt Lucero,,,Male
Philibert-Paul Charbonnier,,,
Fritz Kühn,,,Male
Paul Gredinger,,,
Robert Defrin,,,
Slobodan Tadi_,,,
"Studio SLS, Zagreb, Croatia",,,
Radovan Sredi_,,,Male
_eljko Stojanovi_,,,
Marko _oli_,,,Male
Zvonimir Atleti_,,,Male
V. Serafimov,,,
Luka Mjeda,,,Male
Dra_en Kaleni_,,,
Igor Kordej,,,Male
Geschäftsstelle des Bürger-Rates von Groß-Berlin,,,
Ewa Partum,,,Female
Silk and Textile Printers Ltd,,,
Desiderius Orban,,,Male
James Gleeson,,,Male
Frank Hinder,,,Male
Betty Skowronski,,,Female
Hal Missingham,,,Male
Mary Curtis,,,Female
Bianchini-Ferier,,,
Alice Attie,,,Female
Rodney McMillian,,,male
Hermann Bek-Gran,,,Male
Gillian Ayres,,,Female
Gordon Cheung,,,Male
Ian Davenport,,,Male
Marie Harnett,,,Female
Ben Johnson,,,Male
Edmund de Waal,,,Male
Ian McKeever,,,Male
Paul Winstanley,,,Male
Richard Woods,,,Male
Catherine Yass,,,Female
Vincent Kohler,,,Male
David Hominal,,,Male
"Brigada Inti Peredo, Juventud Socialista",,,
"Brigadas Ramona Parra, Juventudes Comunistas de Chile",,,
Analisa Russo,,,Female
S. Brett Walker,,,Male
Jennifer A. Lewis,,,Female
Michael Bell,,,Male
Ina Barfuß,,,
Thomas Wachweger,,,
Wilhelm Schürmann,,,
Jiri Georg Dokoupil,,,
Ilona Weber,,,
Wolfgang Weber,,,
Luis Claramunt,,,
Sven-Åke Johansson,,,
Werner David Feist,,,Male
Alvin Baltrop,,,Male
Max Abramovitz,,,Male
Cameron Rowland,,,male
Grega Ko_ak,,,Female
Vincent Desiderio,,,Male
Tom Finkelpearl,,,Male
Robert Atkins,,,Male
Perry Bard,,,
Jo Babcock,,,
Roger Boyce,,,Male
Lee Roy Champagne,,,
Nancy Evans,,,
Jeff Goodman,,,
C K Kuebel,,,
Dona Ann McAdams,,,Female
Tom Sarrantonio,,,
Lori Seid,,,
Janice Yudell,,,Female
John Zax,,,Male
Simone Leigh,,,Female
Park McArthur,,,Female
Hisao Suzuki,,,Male
François Blanciak,,,Male
Tabor Robak,,,Male
Sondra Perry,,,Female
CCMC,,,
Paul Dutton,,,
John Oswald,,,
Ishan Clemenco,,,
Coconut,,,
The Diodes,,,
Amerigo Marras,,,
Bruce Eves,,,
Alison Rossiter,,,Female
John Fekner City Squad,,,
F. V. Holi,,,
Old_ich Menhart,,,Male
Park Seo-Bo,,,Male
Shigetaka Kurita,,,Male
"Nokia Corporation, Finland",,,
Evan Holloway,,,Male
Steven Hull,,,
Matt Keegan,,,Male
Sean Landers,,,Male
Sharon Lockhart,,,Female
Balam Garcia,,,
Aaron Curry,,,Male
Roger Herman,,,Male
Shio Kusaka,,,Female
Liza Lou,,,Female
Rita McBride,,,Female
Tom Sachs,,,Male
Juan Uslé,,,Male
Petr Tu_n_,,,Male
Unidentified designer,,,
Jeffrey Gibson,,,Male
Ugo Gregoretti,,,Male
Marjorie Strider,,,Female
Colin Lowe,,,
Ralph Lundsten,,,
Leo Nilson,,,
Kim Schoenstadt,,,
Jean-Claude Moineau,,,
Jennifer Moon,,,Female
Julio César Morales,,,Male
OJO,,,
Kristin Oppenheim,,,Female
Fuller Fabrics,,,
The Nichemakers,,,
Poptastic,,,
Chris Fitzpatrick,,,
Thomas Dimuzio,,,
Jean-Jacques Palix,,,
Jeff Rian,,,
Stephanie Taylor,,,Female
Thomas Cristoffersen,,,Male
David Zahle,,,Male
"IDÉE Ltd., Japan",,,
Luc Delahaye,,,Male
Lita Albuquerque,,,Female
Robert Kramer,,,Male
Harold Budd,,,
Terence Conran,,,Male
Marian Mahler,,,Female
John Lacey,,,Male
Barbara Brown,,,Female
Lucienne Day,,,Female
Edinburgh Weavers,,,
"David Whitehead Ltd., U.K.",,,
"Heal Fabrics, London, U.K.",,,
Hammer Prints Ltd.,,,
Ostengruppe,,,
Natasha Agapova,,,Female
Peter Bankov,,,Male
_eljko Koprol_ec,,,
Amy O'Neill,,,Female
Marguerita Mergentime,,,Female
Unika-vaev,,,
Vuokko Eskolin,,,Female
Printext,,,
Barbara Degerman,,,Female
Helga Nykopp,,,Female
A B Norna Hemslojd,,,
Calvin Marcus,,,Male
Wilhelm Thiele,,,Male
Osvaldo Peruzzi,,,Male
Tato (Guglielmo Sansoni),,,Male
Tulio Crali,,,Male
László Kistamás,,,Male
Pierre Daura,,,Male
Hubert Hilscher,,,Male
Lav Diaz,,,Male
Rafael Barradas,,,Male
Hans Scharoun,,,Male
E. Trautvetter,,,
Marcel Jancou,,,
Dan Peterman,,,Male
A. Strachov,,,
"""a.r."" group",,,
Umberto Luigi Ronco,,,Male
Will Burtin,,,Male
Sibylle Möllering-Kaldewey,,,Female
Bruno Monguzzi,,,Male
Franz Josef Popp,,,Male
Tamar Cohen,,,Female
Paul Shaw,,,Male
Melchior,,,
Ian Murray,,,
Burt Payne 3,,,
Deborah Sussman,,,Female
Hendrik Willem van Loon,,,Male
Marcelo Ferraz,,,Male
Xaviera Simmons,,,Female
Printex,,,
Muriel Cooper,,,Female
David Small,,,Male
Kim Beom,,,male
Andrea Büttner,,,Female
Joan Charysyn,,,Female
"MTA New York City Transit, Bergen Street Sign Shop",,,
Clare Strand,,,Female
Eric Owen Moss,,,Male
Nancy Reddin Kienholz,,,Female
FZ,,,
M. Palasek,,,
Tvar Schlosser,,,
Antonio Quintana Simonetti,,,Male
Alberto Rodríguez Surribas,,,Male
11 bit studios,,,
Lucas Pope,,,Male
Loretta Lux,,,Female
inri,,,Female
Juan Andralis,,,Male
Hermelindo Fiaminghi,,,Male
Tsibi Geva,,,Male
Michael Gitlin,,,Male
Philip Rantzer,,,Male
Micha Ullman,,,Male
Jared Bark,,,Male
Marco Brambilla,,,Male
Robert Dowd,,,Male
Phillip Hefferton,,,Male
Munetsugu Satomi,,,Male
Sanne Sannes,,,Male
Tarsila do Amaral,,,Female
Johan Van Der Keuken,,,Male
Ambrogio Pozzi,,,Male
Paz Errázuriz,,,Female
Ji_í Pelcl,,,Male
Mike Stephenson,,,Male
George Stone,,,Male
Matt Frewer,,,Male
J. Herbert McNair,,,Male
Studio Boggeri,,,
Helen Mayer Harrison,,,Female
Newton Harrison,,,Male
Gertrudes Altschul,,,Female
Iman Issa,,,Female
Marcel Giró,,,Male
Ademar Manarini,,,Male
Ronald Beckman,,,Male
George Nelson Associates,,,
Neïl Beloufa,,,Male
Chto Delat,,,
Jumana Manna,,,Female
"Better Shelter, Sweden",,,
Moon Hoon,,,Male
Johnston Marklee,,,
John Svezia,,,Male
Ray Wilkes,,,Male
Thinking Machines Corporation,,,
Donald Wall,,,Male
W. Borek,,,Male
Robert Massin,,,Male
Unidentified Designer,,,
"Deberny et Peignot, Paris",,,
Cecily Hoyt,,,Female
Thomas Weir,,,Male
George Kastner,,,
Eugene Masselink,,,
Paulo Pires da Silva,,,Male
Eduardo Salvatore,,,Male
José Yalenti,,,Male
Grainware,,,
Gottfried Helnwein,,,Male
Emilio Greco,,,Male
Unidentified Designer,,,
Ila Bêka,,,Male
Louise Lemoine,,,Female
Louis Draper,,,Male
Albert Fennar,,,Male
Herman Howard,,,Male
Earl James,,,Male
James Mannas,,,Male
Calvin Mercer,,,Male
Melvin Mills,,,Male
Shawn W. Walker,,,Male
Calvin Wilson,,,Male
Larry Stewart,,,Male
Ray Francis,,,Male
Kamoinge Workshop,,,
David Carter,,,Male
Herb Robinson,,,Male
Harry R. Barry,,,Male
Luigi Scrivo,,,Male
Roberto Iras Baldessari,,,Male
Henry Fuermann and Sons Photography Company,,,
Antonio Marasco,,,Male
Marcelo Suzuki,,,Male
Rael San Fratello,,,
Manuel Herz Architects,,,
Channa Horwitz,,,Female
Deborah Turbeville,,,Female
Joshua White,,,Male
Joshua Light Show,,,
Amilcar de Castro,,,Male
Louise Despont,,,Female
Alberto Greco,,,Male
Byung Hoon Choi,,,Male
Guiseppe Pagano,,,Male
Dragoljub Pavlov,,,Male
Bora Vitorac,,,Male
Arnold Hardy,,,
"Lobmeyr, Kamenick_ _enov, Czechoslovakia",,,
Ida O'Keeffe,,,Female
GOLDIN+SENNEBY,,,
Basel Abbas,,,Male
Ruanne Abou-Rahme,,,Female
John Akomfrah,,,Male
Ian Cheng,,,Male
Shaun Gladwell,,,Male
Miguel Rio Branco,,,Male
Jacolby Satterwhite,,,Male
Julio Agostinelli,,,Male
André Carneiro,,,Male
Lucílio Corrêa Leite Filho,,,Male
Ivo Ferreira da Silva,,,Male
German Lorca,,,Male
Aldo Augusto de Souza Lima,,,Male
João Bizarro Da Nave Filho,,,Male
Thon de Does,,,Male
Arata Endo,,,
Walter Niedermayr,,,Male
Lida Moser,,,Female
Aslı Çavu_o_lu,,,Female
Hudinilson Jr.,,,Male
Avery Singer,,,
Carlos Leppe,,,Male
Palmer Hayden,,,Male
Suguru Ishizaki,,,Male
Robert Silvers,,,Male
Earl Rennison,,,Male
Yin Yin Wong,,,Male
Jeffrey Ventrella,,,
Fazal Sheikh,,,Male
Greer Lankton,,,
Roger Higgins,,,
Pamela Rosenkranz,,,Female
K8 Hardy,,,Female
Eric Marciano,,,Male
Sharon Johnston,,,Female
Mark Lee,,,Male
Mike Topp,,,male
Dale Henry,,,male
Christian Hasucha,,,
Milan Kunc,,,
Hervé Di Rosa,,,
Louis Jammes,,,
Mark Brusse,,,Male
Edvard Ravnikar,,,
Stanko Kristl,,,
Milan Miheli_,,,
Jean-Pierre Wilhelm,,,
Jürgen Flimm,,,
Charles Harrison,,,Male
Ronald Rael,,,Male
Virginia San Fratello,,,Female
Paul Wolff,,,Male
Robert Alexander,,,
Charles Brittin,,,Male
Cameron,,,
Marion Grogan,,,Female
Hermann Hesse,,,Male
David Meltzer,,,Male
Marko Mu_i_,,,Male
Janko Konstantinov,,,Male
Georgi Konstantinovski,,,Male
Biro 71,,,
Romain Urhausen,,,Male
Luc Dietrich,,,Male
_tefan Kacin,,,
Jurij Princes,,,
Bogdan Splinder,,,
Marjan Ur_i_,,,
Elisabeth Hase,,,Female
Tatjana Neidhardt,,,
Juraj Neidhardt,,,Male
_ahzija Dreca,,,
Omar Carreño,,,Male
María Freire,,,Female
