 ,,,Gender
Camille Bryen,,,Male
Tadeusz Brzozowski,,,Male
Gernot Bubenik,,,Male
Boris Bu_an,,,Male
Erich Buchegger,,,Male
Gustave Buchet,,,Male
Carl Buchheister,,,Male
Erich Buchholz,,,Male
John Buck,,,Male
Peer Bücking,,,
John Buckland-Wright,,,Male
Peter H. Buckley,,,Male
Stephen Buckley,,,Male
David Budd,,,Male
Dan Budnik,,,Male
Budry,,,
Eugene Buechel,,,Male
Alice Standish Buell,,,Female
Bernard Buffet,,,Male
Fritz Bühler,,,Male
Felix Buhot,,,Male
Adam Bujak,,,Male
John G. Bullock,,,Male
Wynn Bullock,,,Male
Torun Bülow-Hübe,,,Female
Louis Bunce,,,Male
Willi Bunkowski,,,Male
Édouard-Wilfred Buquet,,,Male
Pierre Buraglio,,,Male
Pablo Burchard,,,Male
Max Burchartz,,,Male
Charles Burchfield,,,Male
Chris Burden,,,Male
Daniel Buren,,,Male
Bill Burke,,,Male
Burkhard,,,
Paul Burlin,,,Male
David Burliuk,,,Male
Ian Burn,,,Male
Edward Burne-Jones,,,Male
Deirdre Burnett,,,Female
Joseph Burnett,,,Male
Marsha Burns,,,Female
Edward Burra,,,Male
Alberto Burri,,,Male
René Burri,,,Male
Larry Burrows,,,Male
Richmond Burton,,,Male
Scott Burton,,,Male
Pol Bury,,,Male
Andrew Foster Bush,,,Male
Jack Bush,,,Male
Wolf von dem Bussche,,,Male
Solomon D. Butcher,,,Male
Frances Butler,,,Female
Horacio A. Butler,,,Male
Reg Butler,,,Male
Elizabeth Butterworth,,,Female
James Lee Byars,,,Male
Michael Byron,,,Male
C.N. and Company,,,
Roland Cabot,,,Male
Luigi Caccia Dominioni,,,Male
Cadavre Exquis,,,
John Cadenhead,,,Male
Paul Cadmus,,,Male
Poul Cadovius,,,Male
Deborah Fleming Caffery,,,Female
John Cage,,,Male
Corrado Cagli,,,Male
Miriam Cahn,,,Female
Marcelle Cahn,,,Female
Fred Cain,,,Male
José Milner Cajahuaringa,,,Male
Charles Cajori,,,Male
Letterio Calapai,,,Male
Nicolas Calas,,,Male
Lawrence Calcagno,,,Male
Alexander Calder,,,Male
Dale R. Caldwell,,,Male
Harry Callahan,,,Male
Kenneth Callahan,,,Male
Mary Callery,,,Female
Edwin Calligan,,,Male
Jo Ann Callis,,,Female
"P. E. Camerer, St. Paul, MN",,,
Julia Margaret Cameron,,,Female
Julio Camino Sanchez,,,Male
Luis Camnitzer,,,Male
Charles Camoin,,,Male
Nickie Campbell,,,
Jewett Campbell,,,Male
Steven Campbell,,,Male
Heinrich Campendonk,,,Male
Antonia Campi,,,Female
Massimo Campigli,,,Male
Peter Campus,,,Male
Vincent Canadé,,,Male
Antonio Cañavate Gómez,,,Male
John Candelario,,,Male
Louis Cane,,,Male
Giacomo Caneva,,,Male
Johannes Canis,,,Male
Rafael Canogar,,,Male
Domenico Cantatore,,,Male
Federico Cantú,,,Male
Cornell Capa,,,Male
Robert Capa,,,Male
Bruno Capacci,,,Male
Josef Capek,,,Male
Alfred Capel Cure,,,Male
Giuseppe Capogrossi,,,Male
Paul Caponigro,,,Male
Leonetto Cappiello,,,Male
Luis B. Caputo Demarco,,,Male
Aida Carballo,,,Female
Miguel-Ángel Cárdenas,,,Male
Augustin Càrdenas,,,Male
Santiago Cárdenas,,,Male
Emil Cardinaux,,,Male
José Bernardo Cardoso Jr.,,,Male
Étienne Carjat,,,Male
Arthur B. Carles,,,Male
C. Carleton,,,
Marie Carlier,,,Female
Charles W. Carlson,,,Male
Richard Carlson,,,Male
Jean Carlu,,,Male
Natacha Carlu,,,Female
Eugenio Carmi,,,Male
John William Carnell,,,Male
Anthony Caro,,,Male
Paolo Carosone,,,Male
Carpenter,,,
William L. Carqueville,,,Male
Carlo Carrà,,,Male
Mario Carreño,,,Male
Clara Carrié,,,Female
Eugène Carrière,,,Male
Mario Carrieri,,,Male
Leonora Carrington,,,Female
John Carroll,,,Male
Patricia Jon Carroll,,,Female
Clarence H. Carter,,,Male
Paul Carter,,,Male
Henri Cartier-Bresson,,,Male
Flavio de R. Carvalho,,,Male
Carybé (Hector Bernabó),,,Male
John Casado,,,Male
Andrea Cascella,,,Female
Pietro Cascella,,,Male
Jacqueline S. Casey,,,Female
Sydney Cash,,,Male
Casio Computer Co. Ltd.,,,
Tranquillo Casiraghi,,,Male
Felice Casorati,,,Male
Karl Caspar,,,Male
A. M. Cassandre,,,Male
Mary Cassatt,,,Female
Axel Cassel,,,Male
Herbert Carroll Cassill,,,Male
Rodolfo V Castagna,,,Male
Moshe Elazar Castel,,,Male
Pedro Castelar Báez,,,Male
Enrico Castellani,,,Male
Julio Castellanos,,,Male
Federico Castellon,,,Male
Achille Castiglioni,,,Male
Pier Giacomo Castiglioni,,,Male
Rosemarie Castoro,,,Female
Vita Castro,,,Female
Enrique Castro-Cid,,,Male
P. H. Caswell,,,
Umberto Catalano,,,Male
Elizabeth Catlett,,,Female
Bob Cato,,,Male
Patrick Caulfield,,,Male
Cause,,,
Alik Cavaliere,,,Male
Giorgio Cavallon,,,Male
Cazals,,,Male
Bruno Ceccobelli,,,Male
Francis Celentano,,,Male
Stojan Celic,,,Male
Pérez Celis,,,Male
Vija Celmins,,,Female
Centrokappa Design and Communication,,,
Edmond Ceria,,,Male
Emilio Cerri,,,Male
César (César Baldaccini),,,Male
Paul Cézanne,,,Male
Lynn Chadwick,,,Male
Marc Chagall,,,Male
Roger Chailloux,,,Male
Gaston Chaissac,,,Male
Paul Chaleff,,,Male
Samuel Chamberlain,,,Male
John Chamberlain,,,Male
Chambers,,,
Martín Chambi,,,Male
Roger Chancel,,,Male
Bruce Chandler,,,Male
Linda Chapman,,,Female
André Chapon,,,Male
Walter Chappell,,,Male
Serge Charchoune,,,Male
Chargesheimer (Karl-Heinz Hargesheimer),,,Male
Sarah Charlesworth,,,Female
Jean Charlot,,,Male
Louisa Chase,,,Female
Theodore Chassériau,,,Male
Roger Chastel,,,Male
Edward Chavez,,,Male
José Chávez Morado,,,Male
Santos Chávez,,,Male
Bernard Cheese,,,Male
Cheng Sha Ping,,,
Jules Chéret,,,Male
Ivan Chermayeff,,,Male
Norman Cherner,,,Male
Iakov Chernikhov,,,Male
Michael Chernyshov,,,Male
Lee Chesney,,,Male
Sandro Chia,,,Male
Miriam Chiaverini,,,Female
Judy Chicago,,,Female
John Chick,,,Male
Pietro Chiesa,,,Male
Chikuchi Toshio,,,
Bernard Childs,,,Male
Eduardo Chillida,,,Male
Thomas Chimes,,,Male
Giorgio de Chirico,,,Male
Marcel Chirnoaga,,,Male
Anna Chojnacka,,,Female
Seiji Chokai,,,Male
Chunghi Choo,,,Female
Gilles-Louis Chrétien,,,Male
