ConstituentID,DisplayName,Nationality
203,Karel Appel,Netherlands
204,Leon Appelbaum,UNITED STATES OF AMERICA
205,Ida Applebroog,UNITED STATES OF AMERICA
207,Shusaku Arakawa,UNITED STATES OF AMERICA
208,Diane Arbus,UNITED STATES OF AMERICA
209,Alexander Archipenko,UNITED STATES OF AMERICA
211,Mordecai Ardon,Israeli
212,Luis Arenal,Mexico
214,Egmont Arens,UNITED STATES OF AMERICA
215,Tamotsu Arikawa,Japan
216,Avigdor Arikha,Romanian
217,Gonzalo Ariza,Colombian
218,Alda Maria Armagni,Argentina
219,Siah Armajani,UNITED STATES OF AMERICA
220,Arman,UNITED STATES OF AMERICA
221,Armando,Netherlands
222,F. Armbruster,France
224,Kenneth Armitage,United Kingdom
225,John Taylor Arms,UNITED STATES OF AMERICA
226,John Armstrong,United Kingdom
227,Franois Arnal,France
228,Arndt,Germany
229,Eugne Atget,France
230,John Atherton,UNITED STATES OF AMERICA
231,Anna Atkins,United Kingdom
232,Conrad Atkinson,United Kingdom
233,Lawrence Atkinson,United Kingdom
234,Terry Atkinson,United Kingdom
235,Jean-Michel Atlan,France
236,Dotty Attie,UNITED STATES OF AMERICA
238,Carl Aubck,Austria
239,Charles Aubry,France
240,Frank Auerbach,United Kingdom
241,Gae Aulenti,Italy
242,Keith James Aulik,UNITED STATES OF AMERICA
243,George Ault,UNITED STATES OF AMERICA
245,Irving Austin,UNITED STATES OF AMERICA
246,Mario Avati,Italy
247,Edward Avedisian,UNITED STATES OF AMERICA
248,Richard Avedon,UNITED STATES OF AMERICA
249,Frances Avery,UNITED STATES OF AMERICA
250,Milton Avery,UNITED STATES OF AMERICA
251,David Avison,UNITED STATES OF AMERICA
252,Mordechai Avniel,Israeli
254,Kiyoshi Awazu,Japan
255,Ay-O,Japan
256,Alice Aycock,UNITED STATES OF AMERICA
257,Pierre Ayot,Canada
258,Michael Ayrton,United Kingdom
259,Luis Cruz Azaceta,UNITED STATES OF AMERICA
260,Umetaro Azechi,Japan
261,Kengiro Azuma,Japan
262,Johannes Baader,Germany
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),Germany
264,Kurt W. Baasch,UNITED STATES OF AMERICA
265,Alice Baber,UNITED STATES OF AMERICA
266,Bacard Fils,France
268,Edmondo Bacci,Italy
269,Elvira Bach,Germany
270,Olof Backman,Swedish
271,Olof Backstrom,Finnish
272,Francis Bacon,United Kingdom
273,Peggy Bacon,UNITED STATES OF AMERICA
275,Karl Baden,UNITED STATES OF AMERICA
276,Mowry Thatcher Baden,UNITED STATES OF AMERICA
277,Aquiles Badi,Argentina
278,Libero Badii,Argentina
279,Frank Badur,Germany
280,Donald Baechler,UNITED STATES OF AMERICA
281,Jo Baer,UNITED STATES OF AMERICA
282,Martin Baer,UNITED STATES OF AMERICA
283,Olle Baertling,Swedish
284,Myrna Bez,UNITED STATES OF AMERICA
285,John Bageris,UNITED STATES OF AMERICA
286,Heinz Bahr,Germany
287,Malcolm Bailey,UNITED STATES OF AMERICA
288,Oscar Bailey,UNITED STATES OF AMERICA
289,William Bailey,UNITED STATES OF AMERICA
290,Larry Bair,UNITED STATES OF AMERICA
291,Eugenie Baizerman,UNITED STATES OF AMERICA
292,Enrico Baj,Italy
294,Carl Baker,UNITED STATES OF AMERICA
296,Mikal Baker,UNITED STATES OF AMERICA
298,Vagrich Bakhchanyan,Russia
299,Gerhard H. Bakker,UNITED STATES OF AMERICA
300,Lon Bakst,Russia
301,Gerard Baksteen,Netherlands
302,Amrico Baln,Argentina
303,Jir Balcar,Czech
304,John Baldessari,UNITED STATES OF AMERICA
305,George Baldessin,Australia
307,C. Leroy Baldridge,UNITED STATES OF AMERICA
308,douard-Denis Baldus,France
309,Benjamin Baldwin,UNITED STATES OF AMERICA
310,Joost Baljeu,Netherlands
311,Giacomo Balla,Italy
313,R. Maxil Ballinger,UNITED STATES OF AMERICA
314,Theo H. Ballmer,Switzerland
315,Alexander Bally,UNITED STATES OF AMERICA
316,John F. Balossi,UNITED STATES OF AMERICA
317,Balthus (Baltusz Klossowski de Rola),France
318,Lewis Baltz,UNITED STATES OF AMERICA
319,Thomas Bamberger,UNITED STATES OF AMERICA
320,McDonald (Mackey Jeffries) Bane,UNITED STATES OF AMERICA
321,Colette Bangert,UNITED STATES OF AMERICA
322,Walter Darby Bannard,UNITED STATES OF AMERICA
323,John Banting,United Kingdom
324,Rudolf Baranik,UNITED STATES OF AMERICA
325,Vladimir Baranoff-Rossin,Ukrainian
327,Anthony Barboza,UNITED STATES OF AMERICA
329,Miquel Barcelo,Spain
330,Peter Bardazzi,UNITED STATES OF AMERICA
331,Jules-Jean-Antoine Baric,France
332,Richard Baringer,UNITED STATES OF AMERICA
333,George Barker,Australia
334,Walter William Barker,UNITED STATES OF AMERICA
335,Ernst Barlach,Germany
336,George N. Barnard,UNITED STATES OF AMERICA
337,Cyril H. Barnes,UNITED STATES OF AMERICA
